iter,elapsed_s,best_obj,gap_abs,gap_pct,p_alpha_0.05,p_alpha_0.1,p_alpha_0.2,p_alpha_0.35,p_alpha_0.5
1,0.172,24619,2560,9.419,0.2,0.2,0.2,0.2,0.2
2,0.174,25736,1443,5.309,0.196513,0.200872,0.200872,0.200872,0.200872
3,0.2,25736,1443,5.309,0.196114,0.200971,0.200971,0.200971,0.200971
4,0.204,25736,1443,5.309,0.196504,0.201371,0.201371,0.201371,0.199383
5,0.204,25736,1443,5.309,0.196582,0.201451,0.201451,0.201451,0.199064
6,0.206,26024,1155,4.25,0.195262,0.202337,0.202337,0.202337,0.197727
7,0.208,26024,1155,4.25,0.19742,0.204574,0.193521,0.204574,0.199912
8,0.208,26024,1155,4.25,0.197451,0.204605,0.193551,0.204605,0.199788
9,0.208,26024,1155,4.25,0.198578,0.200064,0.194656,0.205773,0.200929
10,0.216,26024,1155,4.25,0.198489,0.200422,0.194569,0.205681,0.200839
11,0.216,26024,1155,4.25,0.198539,0.200471,0.194368,0.205733,0.200889
12,0.22,26024,1155,4.25,0.198276,0.200206,0.195434,0.20546,0.200623
13,0.22,26024,1155,4.25,0.198376,0.200307,0.195532,0.205564,0.200222
14,0.23,26279,900,3.311,0.197896,0.20224,0.195059,0.205067,0.199738
15,0.232,26353,826,3.039,0.199849,0.201748,0.194584,0.204567,0.199252
16,0.234,26353,826,3.039,0.200986,0.202895,0.195691,0.200043,0.200385
17,0.234,26353,826,3.039,0.200845,0.202753,0.196255,0.199903,0.200244
18,0.234,26353,826,3.039,0.199755,0.20303,0.196523,0.200175,0.200517
19,0.234,26353,826,3.039,0.20014,0.201494,0.196901,0.200561,0.200904
20,0.234,26353,826,3.039,0.200407,0.201763,0.197164,0.199494,0.201172
21,0.239,26353,826,3.039,0.199745,0.20193,0.197327,0.199659,0.201338
22,0.239,26353,826,3.039,0.199293,0.202044,0.197439,0.199772,0.201452
23,0.239,26353,826,3.039,0.199281,0.202032,0.197427,0.199819,0.20144
24,0.239,26353,826,3.039,0.199236,0.202211,0.197383,0.199775,0.201395
25,0.239,26353,826,3.039,0.199252,0.202227,0.197398,0.199713,0.201411
26,0.239,26353,826,3.039,0.199726,0.202107,0.197281,0.199594,0.201292
27,0.247,26353,826,3.039,0.200172,0.201994,0.197171,0.199483,0.20118
28,0.248,26353,826,3.039,0.200331,0.201361,0.197328,0.199641,0.201339
29,0.249,26353,826,3.039,0.200187,0.201217,0.197903,0.199498,0.201195
30,0.249,26353,826,3.039,0.199937,0.200965,0.197656,0.199249,0.202193
31,0.249,26353,826,3.039,0.199741,0.200769,0.197462,0.199054,0.202974
32,0.249,26353,826,3.039,0.199686,0.200782,0.197476,0.199068,0.202988
33,0.256,26353,826,3.039,0.19967,0.200848,0.197459,0.199051,0.202972
34,0.256,26353,826,3.039,0.199781,0.20096,0.197569,0.198606,0.203084
35,0.256,26353,826,3.039,0.199891,0.201071,0.197679,0.198162,0.203197
36,0.256,26353,826,3.039,0.199963,0.200784,0.19775,0.198233,0.20327
37,0.265,26353,826,3.039,0.2,0.200821,0.197786,0.19827,0.203123
38,0.266,26353,826,3.039,0.200066,0.200887,0.197522,0.198335,0.203189
39,0.266,26353,826,3.039,0.200114,0.200936,0.197569,0.198383,0.202998
40,0.268,26353,826,3.039,0.200206,0.201028,0.19766,0.198014,0.203092
41,0.268,26353,826,3.039,0.200154,0.200975,0.197871,0.197962,0.203038
42,0.271,26353,826,3.039,0.200122,0.200943,0.197839,0.19793,0.203166
43,0.271,26353,826,3.039,0.200477,0.200854,0.197751,0.197842,0.203076
44,0.271,26353,826,3.039,0.200134,0.20094,0.197836,0.197927,0.203163
45,0.271,26353,826,3.039,0.200042,0.200848,0.198204,0.197836,0.20307
46,0.271,26353,826,3.039,0.199724,0.200928,0.198283,0.197915,0.20315
47,0.271,26353,826,3.039,0.199596,0.20096,0.198315,0.197946,0.203183
48,0.271,26353,826,3.039,0.1996,0.200964,0.198297,0.197951,0.203187
49,0.271,26353,826,3.039,0.199573,0.200937,0.19827,0.19806,0.20316
50,0.28,26353,826,3.039,0.199637,0.201001,0.198014,0.198123,0.203225
51,0.291,26353,826,3.039,0.199571,0.200935,0.197949,0.198386,0.203158
52,0.291,26353,826,3.039,0.199566,0.20093,0.19797,0.198381,0.203153
53,0.291,26353,826,3.039,0.199471,0.201312,0.197876,0.198286,0.203056
54,0.297,26353,826,3.039,0.199277,0.201361,0.197924,0.198334,0.203105
55,0.299,26353,826,3.039,0.199263,0.201347,0.197979,0.19832,0.203091
56,0.307,26353,826,3.039,0.199315,0.2014,0.19777,0.198372,0.203144
57,0.308,26353,826,3.039,0.199381,0.201467,0.197836,0.198438,0.202878
58,0.31,26353,826,3.039,0.199463,0.201138,0.197917,0.19852,0.202961
59,0.312,26353,826,3.039,0.199518,0.200921,0.197971,0.198574,0.203017
60,0.315,26353,826,3.039,0.199557,0.20096,0.19801,0.198613,0.202861
61,0.317,26353,826,3.039,0.199525,0.200968,0.198017,0.19862,0.202869
62,0.318,26353,826,3.039,0.199522,0.200969,0.198018,0.198621,0.20287
63,0.32,26353,826,3.039,0.199484,0.20093,0.19798,0.198775,0.202831
64,0.322,26353,826,3.039,0.199501,0.200948,0.197997,0.198792,0.202762
65,0.324,26353,826,3.039,0.19953,0.200977,0.197881,0.198821,0.202791
66,0.326,26353,826,3.039,0.19961,0.200658,0.19796,0.1989,0.202872
67,0.387,26353,826,3.039,0.19965,0.200498,0.197999,0.19894,0.202913
68,0.387,26353,826,3.039,0.199641,0.200488,0.19799,0.198977,0.202904
69,0.387,26353,826,3.039,0.199609,0.200457,0.197959,0.199103,0.202872
70,0.387,26353,826,3.039,0.199557,0.200404,0.19817,0.19905,0.202819
