iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
1,0.172,24619,24619,0.05,88,2560,9.419
2,0.174,25736,25736,0.05,88,1443,5.309
3,0.2,25736,24987,0.05,88,1443,5.309
4,0.204,25736,25482,0.5,88,1443,5.309
5,0.204,25736,25380,0.5,88,1443,5.309
6,0.206,26024,26024,0.35,88,1155,4.25
7,0.208,26024,24618,0.2,87,1155,4.25
8,0.208,26024,25372,0.5,88,1155,4.25
9,0.208,26024,25302,0.1,88,1155,4.25
10,0.216,26024,25415,0.1,87,1155,4.25
11,0.216,26024,24555,0.2,87,1155,4.25
12,0.22,26024,25089,0.2,88,1155,4.25
13,0.22,26024,25157,0.5,88,1155,4.25
14,0.23,26279,26279,0.1,87,900,3.311
15,0.232,26353,26353,0.05,88,826,3.039
16,0.234,26353,24585,0.35,87,826,3.039
17,0.234,26353,25109,0.2,88,826,3.039
18,0.234,26353,24562,0.05,88,826,3.039
19,0.234,26353,24693,0.1,88,826,3.039
20,0.234,26353,24800,0.35,87,826,3.039
21,0.239,26353,24626,0.05,87,826,3.039
22,0.239,26353,24649,0.05,88,826,3.039
23,0.239,26353,25166,0.35,88,826,3.039
24,0.239,26353,25563,0.1,87,826,3.039
25,0.239,26353,25095,0.35,88,826,3.039
26,0.239,26353,25673,0.05,88,826,3.039
27,0.247,26353,25782,0.05,87,826,3.039
28,0.248,26353,24851,0.1,88,826,3.039
29,0.249,26353,25294,0.2,88,826,3.039
30,0.249,26353,26136,0.5,87,826,3.039
31,0.249,26353,26247,0.5,88,826,3.039
32,0.249,26353,25134,0.05,88,826,3.039
33,0.256,26353,25423,0.1,87,826,3.039
34,0.256,26353,24713,0.35,87,826,3.039
35,0.256,26353,24575,0.35,88,826,3.039
36,0.256,26353,24999,0.1,88,826,3.039
37,0.265,26353,25466,0.5,87,826,3.039
38,0.266,26353,24684,0.2,87,826,3.039
39,0.266,26353,25364,0.5,88,826,3.039
40,0.268,26353,24530,0.35,87,826,3.039
41,0.268,26353,25123,0.2,87,826,3.039
42,0.271,26353,25757,0.5,88,826,3.039
43,0.271,26353,25828,0.05,88,826,3.039
44,0.271,26353,24619,0.05,87,826,3.039
45,0.271,26353,25387,0.2,88,826,3.039
46,0.271,26353,24564,0.05,87,826,3.039
47,0.271,26353,24881,0.05,88,826,3.039
48,0.271,26353,24958,0.2,87,826,3.039
49,0.271,26353,25090,0.35,88,826,3.039
50,0.28,26353,24577,0.2,88,826,3.039
51,0.291,26353,25366,0.35,88,826,3.039
52,0.291,26353,24976,0.2,88,826,3.039
53,0.291,26353,25858,0.1,88,826,3.039
54,0.297,26353,24685,0.05,88,826,3.039
55,0.305,26353,25046,0.2,87,826,3.039
56,0.307,26353,24525,0.2,88,826,3.039
57,0.308,26353,25175,0.5,87,826,3.039
58,0.31,26353,24858,0.1,88,826,3.039
59,0.312,26353,24947,0.1,88,826,3.039
60,0.315,26353,25284,0.5,88,826,3.039
61,0.317,26353,25035,0.05,88,826,3.039
62,0.318,26353,25099,0.05,86,826,3.039
63,0.32,26353,25260,0.35,88,826,3.039
64,0.322,26353,25398,0.5,88,826,3.039
65,0.324,26353,24662,0.2,88,826,3.039
66,0.326,26353,24687,0.1,87,826,3.039
67,0.387,26353,24912,0.1,87,826,3.039
68,0.387,26353,25087,0.35,87,826,3.039
69,0.387,26353,25282,0.35,87,826,3.039
70,0.387,26353,25397,0.2,88,826,3.039
71,0.387,26353,25521,0.05,88,826,3.039
72,0.398,26353,24940,0.05,88,826,3.039
73,0.398,26353,25265,0.35,87,826,3.039
74,0.398,26353,25146,0.05,88,826,3.039
75,0.398,26353,25472,0.35,88,826,3.039
76,0.398,26353,25072,0.1,88,826,3.039
77,0.398,26353,25818,0.35,88,826,3.039
78,0.405,26353,26055,0.5,87,826,3.039
79,0.407,26353,24900,0.05,88,826,3.039
80,0.407,26353,25200,0.05,88,826,3.039
81,0.407,26353,25104,0.5,88,826,3.039
82,0.407,26353,25035,0.05,87,826,3.039
83,0.407,26353,24866,0.2,88,826,3.039
84,0.407,26353,25214,0.5,88,826,3.039
85,0.414,26353,24710,0.05,88,826,3.039
86,0.416,26353,25010,0.35,88,826,3.039
87,0.416,26353,25832,0.1,88,826,3.039
88,0.42,26353,25482,0.1,88,826,3.039
89,0.421,26353,25019,0.5,86,826,3.039
90,0.421,26353,25294,0.05,87,826,3.039
91,0.421,26353,25054,0.1,87,826,3.039
92,0.421,26353,24942,0.05,88,826,3.039
93,0.431,26353,25205,0.35,88,826,3.039
94,0.432,26353,25053,0.05,88,826,3.039
95,0.433,26353,25328,0.2,87,826,3.039
96,0.434,26353,24890,0.35,88,826,3.039
97,0.436,26353,26215,0.35,88,826,3.039
98,0.436,26353,24925,0.5,87,826,3.039
99,0.442,26353,24800,0.1,87,826,3.039
100,0.442,26353,24872,0.35,88,826,3.039
101,0.447,26353,25566,0.5,87,826,3.039
102,0.449,26353,25192,0.1,88,826,3.039
103,0.451,26353,24822,0.05,88,826,3.039
